source,run,level,n,prevalence,accuracy,balanced_accuracy,macro_f1,mcc,auroc,auprc,brier,calibration_slope,calibration_intercept,ece
E2,depresjon-to-hyperaktiv.logreg.external,window,502,0.5039840637450199,0.43824701195219123,0.43706843183008715,0.42506944782884154,-0.13171346351747193,0.4417511945013255,0.48353868369491126,0.3503087509973517,-0.16055971987651296,-0.4230743614195161,0.29112922048448214
E2,depresjon-to-hyperaktiv.logreg.external,subject,85,0.5294117647058824,0.3764705882352941,0.3666666666666667,0.3535657913617449,-0.2807449625374385,0.4188888888888889,0.5542765136780866,0.3140627481105193,-0.33474837732417506,-0.22324475931940585,0.2945821775772319
E2,depresjon-to-hyperaktiv.rf.external,window,502,0.5039840637450199,0.48804780876494025,0.48882486467609565,0.4835204867991753,-0.0227880103789601,0.4605139927298125,0.5039977744116094,0.31673089560906065,-0.1523461329663483,0.32607003142019186,0.21375417808757755
E2,depresjon-to-hyperaktiv.rf.external,subject,85,0.5294117647058824,0.47058823529411764,0.48194444444444445,0.45582586427656846,-0.03911689950318144,0.43722222222222223,0.561790271863459,0.2992054284051218,-0.2708260561509062,0.4214776549880337,0.180079223314842
E2,depresjon-to-hyperaktiv.xgboost.external,window,502,0.5039840637450199,0.4760956175298805,0.47687191453561284,0.47146259933145174,-0.0471621180712285,0.45886312046605393,0.4915573692050019,0.36280579794067386,-0.08874462515900597,0.4708666289681742,0.29208718978675297
E2,depresjon-to-hyperaktiv.xgboost.external,subject,85,0.5294117647058824,0.43529411764705883,0.44305555555555554,0.42889137737961924,-0.11809727634429844,0.44722222222222224,0.5422921254729648,0.3271368287574924,-0.1576344342629985,0.5279860981991407,0.264812049637543
E2,depresjon-to-psykose.logreg.external,window,680,0.5088235294117647,0.7411764705882353,0.7407843272991589,0.7408536585365854,0.4821698432904849,0.7790488387387077,0.7051569827301065,0.19273187119638166,0.49649162383273643,0.061969407137121166,0.0794519149548001
E2,depresjon-to-psykose.logreg.external,subject,38,0.5789473684210527,0.8947368421052632,0.8920454545454546,0.8920454545454546,0.7840909090909091,0.8806818181818181,0.8576098868686117,0.15373534855761783,2.4996894925033026,0.227532265677828,0.2611494796617661
E2,depresjon-to-psykose.rf.external,window,680,0.5088235294117647,0.711764705882353,0.71053269184175,0.7097965440356745,0.4256273423683231,0.7760461735488561,0.77191889413758,0.19256226074199348,0.8063570713344751,-0.021541647204005004,0.0440319077914528
E2,depresjon-to-psykose.rf.external,subject,38,0.5789473684210527,0.868421052631579,0.8522727272727273,0.8606016140865738,0.7332273710264624,0.8892045454545454,0.8892653016119711,0.15961361840103358,2.9253675405142503,0.16972735320284274,0.21781756860839133
E2,depresjon-to-psykose.xgboost.external,window,680,0.5088235294117647,0.7161764705882353,0.7158024990481465,0.7158513957360388,0.43207822369610516,0.7688813125194697,0.7316380962956243,0.20228104541410546,0.5586008136891388,-0.013947960780866665,0.08460064916877945
E2,depresjon-to-psykose.xgboost.external,subject,38,0.5789473684210527,0.7894736842105263,0.7840909090909092,0.7840909090909092,0.5681818181818182,0.8835227272727273,0.8658020702269132,0.14951138311780585,2.132464781613818,0.1920204012647534,0.18599852445027407
E2,depresjon.logreg.internal,window,1034,0.3471953578336557,0.7195357833655706,0.7128113071288559,0.7024171043177605,0.4115432875662223,0.7794697204167957,0.6518333379653346,0.18667737846435456,0.6905676019576797,-0.5142481395366578,0.10182512428620348
