cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_auroc_est,subject_auroc_est,window_accuracy_est,subject_accuracy_est,window_macro_f1_est,subject_macro_f1_est,window_brier_est,subject_brier_est,window_calibration_slope_est,subject_calibration_slope_est,window_calibration_intercept_est,subject_calibration_intercept_est,window_ece_est,subject_ece_est
psykose,cnn1d,inflation,,,,,,,,,,,,,,,0.0426803682295011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003879048395557,0.094690077560636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psykose,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0639204545454545,,,,,,,,,,,,,,,,0.0158730158730158,0.111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psykose,cnn1d,inflation,,,,,,,-0.0626836434867775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1354001976284584,0.0129431477699599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psykose,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0370370370370369,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0588235294117647,0.1352050326188257,,,,,,,,,,,,,,,,,,,,,,,,,,
psykose,cnn1d,inflation,,,,,,,,,,,-0.0393543724403758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1087140412016679,0.0316114470977804,,,,,,,,,,,,,,,,,,,,,,,,
psykose,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0506818771065594,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0482954545454544,0.1535760361486863,,,,,,,,,,,,,,,,,,,,,,
hyperaktiv,cnn1d,subject_wise,85.0,502.0,502.0,0.0,0.5039840637450199,0.0,0.4948207171314741,0.0030210659139647,0.4955188342302014,0.0038447007621229,0.4591986262510799,0.0694697533644378,-0.0091738280689862,0.007614041081841,0.4807451148467387,0.0345495113088435,0.5036570987227061,0.0350256061288778,0.4516212986204215,0.0276150885626566,-0.0189142973376499,0.0441933882672756,-420.23138552298224,939.5852758234048,0.4354563265691329,0.0356096755899593,85.0,0.0,0.5294117647058824,0.0,0.5011764705882353,0.0317864849084854,0.5063888888888889,0.0219514756668115,0.4656355130690573,0.0843185843754808,0.01349735777357,0.0456932501252838,0.4778333333333333,0.0347657504939474,0.5361978745851265,0.0429463498093465,0.4457203812489897,0.0455267382317356,-0.0271862205321051,0.0527082600773084,-1929.996508270888,4316.293443323522,0.4382852254138004,0.0469277627944324,85.0,0.0,0.355901090264867,0.5877206286729947,0.370747462123843,0.5625071818380514,0.3862718963402898,0.5739854706993563,0.3834726225413136,0.5384615384615384,0.3664479787123837,0.5512453264371355,0.3570001390856642,0.5151486186146056,0.2497866536891808,0.3160743274528529,0.2610208414488345,0.3079981285987573,-0.8102271513347112,0.6051670111390792,-0.7695385991374971,0.4790281873567476,0.4591329745860914,0.45500000000000007,0.4721115537848606,0.4588235294117647,0.44698717549001266,0.43036130536130535,0.28319912824208765,0.2847100257941743,-0.1409829860610244,-0.17962151462421463,0.3752944607420893,0.4848231946053833,0.16205853414047036,0.17414635291748415
hyperaktiv,cnn1d,record_wise,85.0,502.0,502.0,0.0,0.5039840637450199,0.0,0.5071713147410358,0.0143370949923877,0.5077590996396654,0.0141199403796411,0.4912798119959288,0.0322957999720508,0.0152743781239189,0.0297974634148849,0.5098258647237169,0.0216782871109457,0.5256223049526663,0.0177534221962406,0.4041798263341211,0.0437809170466599,0.0024675080719979,0.0114111956203972,0.8910499509553984,1.958935132857183,0.360915842231743,0.0640113559493682,85.0,0.0,0.5294117647058824,0.0,0.5152941176470588,0.0635729698169708,0.5230555555555556,0.0614463657525612,0.473006563626412,0.0981896931931169,0.0518744287951712,0.1508607831350558,0.5171111111111112,0.0331881095768341,0.5932628549536796,0.0541522793256727,0.2955241705928172,0.0353185827474193,0.0932719036949187,0.197269037074586,0.4802570556504038,0.6951709236278579,0.2155184342863718,0.0643590202651196,85.0,0.0,0.4469960824931638,0.5777413030543447,0.4324511965341542,0.6215174252284322,0.4669279335550576,0.5848341653977203,0.4716981132075472,0.631578947368421,0.4567203877748059,0.5627532791612939,0.4371838368161679,0.6077219947905197,0.2548010497484591,0.3050781047660676,0.2410056587880338,0.2801544670583506,-0.1899752279669892,0.3427618337486417,-0.504041138126361,1.1876840836008222,0.5134688953442228,0.5288888888888889,0.5239043824701195,0.5529411764705883,0.5069836247457418,0.523879716981132,0.2788718273543532,0.26037865420255574,0.08139262947280365,0.3998826580663981,0.35121848846536385,0.410302461621568,0.12744355735238938,0.14419131813170047
hyperaktiv,cnn1d,inflation,,,,,,,,,,,,,,,0.0543359207581313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.079458981547802,0.1891577953882446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperaktiv,cnn1d,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0738888888888887,,,,,,,,,,,,,,,,-0.0600172413793103,0.2075926250584385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
