cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_auroc_est,subject_auroc_est,window_accuracy_est,subject_accuracy_est,window_macro_f1_est,subject_macro_f1_est,window_brier_est,subject_brier_est,window_calibration_slope_est,subject_calibration_slope_est,window_calibration_intercept_est,subject_calibration_intercept_est,window_ece_est,subject_ece_est
depresjon,rf,inflation,,,,,,,0.0957446808510638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0498501060335605,0.1505577184526016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,rf,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1272727272727272,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057142857142857,0.1944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,rf,inflation,,,,,,,,,,,0.1224715731288265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0660751944169614,0.1835860267363436,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,rf,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1468596287089437,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0667237213764331,0.2256751644175252,,,,,,,,,,,,,,,,,,,,,,
depresjon,xgboost,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.7216634429400386,0.0134534111394119,0.6696473743938924,0.0141887277988199,0.6761506385002216,0.0150067802920281,0.3606999717053738,0.0305839455097008,0.7445810378623748,0.0265452126621458,0.6251135182727444,0.0212857551616083,0.2020119197749369,0.0105080390236206,0.433374764280119,0.0689855231857774,0.2902783588521854,0.084507499810008,0.1225500722350894,0.016266783698248,55.0,0.0,0.4181818181818181,0.0,0.7727272727272727,0.0246182981958665,0.7398777173913043,0.0274563559806292,0.7460245539023072,0.0299248219152849,0.5400279470295495,0.0541189182939187,0.8619565217391303,0.031910551821934,0.8394766147961006,0.0349048195592026,0.1592262565265133,0.0101106239094712,1.4305201192951436,0.4822948657943756,0.364613076960998,0.06596085271395,0.1598599619655446,0.0205426165905461,55.0,0.0,0.6749676537342599,0.8423242182615843,0.7946287693428353,0.9472665898432104,0.623847880062484,0.7947755628007814,0.7027027027027027,0.868421052631579,0.588683936488651,0.7524039569315996,0.6650386897896612,0.8564593301435407,0.1446628108976022,0.2624367462799403,0.1163236587190761,0.1904701073964287,0.3322869418090723,0.760322626433286,1.2549534770060962,2.8316878712066966,0.7641019292272775,0.8736413043478262,0.7195357833655706,0.7818181818181819,0.6724602727276698,0.7587719298245614,0.19212160931706154,0.15462177331902185,0.530732620266184,1.8059953120644927,0.2658557651030875,0.3542042942837963,0.10487517516943909,0.13593808166682625
depresjon,xgboost,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.8021276595744681,0.008396554788446,0.7702676158052204,0.0092021484412625,0.7763141670602345,0.0093593449100766,0.5549455137547323,0.0188044508718238,0.872265965129475,0.0033607179065808,0.7818422203950508,0.0064843900500488,0.1370574108525876,0.0020095818949966,0.8191189913165557,0.0162294700804559,0.0733407834626929,0.0318584695274433,0.0393363386742402,0.0084986248349328,55.0,0.0,0.4181818181818181,0.0,0.8854545454545454,0.017248787237282,0.864266304347826,0.0197642353760523,0.876220641499575,0.0194275202160899,0.7767331329986258,0.0343144675487657,0.9828804347826086,0.0029490617021919,0.9772979159355673,0.0044727300373866,0.0968912225529069,0.0015985827055085,4.77384255160607,0.9455890928563608,0.2135841843802398,0.0261623904985073,0.1937574776329777,0.0126650248833763,55.0,0.0,0.8296672518429984,0.9180281622736456,0.9638157894736842,1.0,0.7516341188247322,0.8613537586335676,0.8333333333333334,0.9497862566134234,0.7320945061680125,0.8375649955654993,0.8193979933110368,0.9637031809190172,0.1034407900353905,0.1685589570297985,0.0749098834666161,0.1163783558840273,0.710045313697944,1.0886778626866846,3.5487272219891515,12.570399655515535,0.8784731249355205,0.9850543478260869,0.8104448742746615,0.8909090909090909,0.7849536300163409,0.8821428571428571,0.13246254510394012,0.09652036302688162,0.8950888091173496,4.694374272960049,0.07056556311341725,0.21313348599492604,0.0253527530148936,0.19432034560947026
depresjon,xgboost,inflation,,,,,,,,,,,,,,,0.114371195708243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0595821666823248,0.1808055596408543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1114130434782607,,,,,,,,,,,,,,,,0.0404334915404289,0.1754425125313283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,0.0909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0510063503579799,0.1421002279247706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,0.1714285714285713,,,,,,,,,,,,,,,,,,,,,,,,,,
